input_text,target_text,conversation_id,windex,split,corpus
"dialog acts:
mn015: okay. (0)",Floor Grabber,Bed006,0,train,mrda
"dialog acts:
mn015: okay. (0)
mn015: some some introductions are in order. (1)",Statement,Bed006,1,train,mrda
"dialog acts:
mn015: okay. (0)
mn015: some some introductions are in order. (1)
fe004: oh okay. (2)",Statement,Bed006,2,train,mrda
"dialog acts:
mn015: some some introductions are in order. (1)
fe004: oh okay. (2)
fe004: sorry. (3)",Statement,Bed006,3,train,mrda
"dialog acts:
fe004: oh okay. (2)
fe004: sorry. (3)
mn015: okay. (4)",Floor Grabber,Bed006,4,train,mrda
"dialog acts:
fe004: sorry. (3)
mn015: okay. (4)
fe004: getting ahead of myself. (5)",Statement,Bed006,5,train,mrda
"dialog acts:
mn015: okay. (4)
fe004: getting ahead of myself. (5)
mn015: so (6)",Floor Grabber,Bed006,6,train,mrda
"dialog acts:
fe004: getting ahead of myself. (5)
mn015: so (6)
mn015: um for those who don't know (7)",Floor Holder,Bed006,7,train,mrda
"dialog acts:
mn015: so (6)
mn015: um for those who don't know (7)
mn015: everyone knows me. (8)",Statement,Bed006,8,train,mrda
"dialog acts:
mn015: um for those who don't know (7)
mn015: everyone knows me. (8)
mn015: this is great. (9)",Statement,Bed006,9,train,mrda
"dialog acts:
mn015: everyone knows me. (8)
mn015: this is great. (9)
fe004: yay! (10)",Statement,Bed006,10,train,mrda
"dialog acts:
mn015: this is great. (9)
fe004: yay! (10)
mn015: um apart from that sort of the old gang johno and bhaskara have been with us from from day one. (11)",Floor Grabber,Bed006,11,train,mrda
"dialog acts:
fe004: yay! (10)
mn015: um apart from that sort of the old gang johno and bhaskara have been with us from from day one. (11)
me045: hi. (12)",Statement,Bed006,12,train,mrda
"dialog acts:
mn015: um apart from that sort of the old gang johno and bhaskara have been with us from from day one. (11)
me045: hi. (12)
mn015: and um they're engaged in in various activities some of which you will hear about today. (13)",Floor Holder,Bed006,13,train,mrda
"dialog acts:
me045: hi. (12)
mn015: and um they're engaged in in various activities some of which you will hear about today. (13)
mn015: ami is um our counselor and spiritual guidance. (14)",Statement,Bed006,14,train,mrda
"dialog acts:
mn015: and um they're engaged in in various activities some of which you will hear about today. (13)
mn015: ami is um our counselor and spiritual guidance. (14)
mn015: and um also interested in problems concerning reference of the more complex type. (15)",Statement,Bed006,15,train,mrda
"dialog acts:
mn015: ami is um our counselor and spiritual guidance. (14)
mn015: and um also interested in problems concerning reference of the more complex type. (15)
me045: oh wow. (16)",Statement,Bed006,16,train,mrda
"dialog acts:
mn015: and um also interested in problems concerning reference of the more complex type. (15)
me045: oh wow. (16)
mn036: well (17)",Interrupted/Abandoned/Uninterpretable,Bed006,17,train,mrda
"dialog acts:
me045: oh wow. (16)
mn036: well (17)
mn015: and um he sits in as a interested participant and helper. (18)",Statement,Bed006,18,train,mrda
"dialog acts:
mn036: well (17)
mn015: and um he sits in as a interested participant and helper. (18)
mn015: is that a good characterization? (19)",Yes-No-question,Bed006,19,train,mrda
"dialog acts:
mn015: and um he sits in as a interested participant and helper. (18)
mn015: is that a good characterization? (19)
mn036: that's pretty good i think. (20)",Statement,Bed006,20,train,mrda
"dialog acts:
mn015: is that a good characterization? (19)
mn036: that's pretty good i think. (20)
mn015: i don't know. (21)",Statement,Bed006,21,train,mrda
"dialog acts:
mn036: that's pretty good i think. (20)
mn015: i don't know. (21)
mn036: yeah. (22)",Statement,Bed006,22,train,mrda
"dialog acts:
mn015: i don't know. (21)
mn036: yeah. (22)
mn036: thanks. (23)",Statement,Bed006,23,train,mrda
"dialog acts:
mn036: yeah. (22)
mn036: thanks. (23)
mn015: okay. (24)",Statement,Bed006,24,train,mrda
"dialog acts:
mn036: thanks. (23)
mn015: okay. (24)
mn015: keith is not technically one of us yet. (25)",Statement,Bed006,25,train,mrda
"dialog acts:
mn015: okay. (24)
mn015: keith is not technically one of us yet. (25)
me045: not yet. (26)",Statement,Bed006,26,train,mrda
"dialog acts:
mn015: keith is not technically one of us yet. (25)
me045: not yet. (26)
mn015: ha ha. (27)",Statement,Bed006,27,train,mrda
"dialog acts:
me045: not yet. (26)
mn015: ha ha. (27)
fe004: one of us. (28)",Statement,Bed006,28,train,mrda
"dialog acts:
mn015: ha ha. (27)
fe004: one of us. (28)
mn015: but um it's too late for him now. (29)",Floor Holder,Bed006,29,train,mrda
"dialog acts:
fe004: one of us. (28)
mn015: but um it's too late for him now. (29)
me045: yeah right. (30)",Statement,Bed006,30,train,mrda
"dialog acts:
mn015: but um it's too late for him now. (29)
me045: yeah right. (30)
mn015: so (31)",Floor Holder,Bed006,31,train,mrda
"dialog acts:
me045: yeah right. (30)
mn015: so (31)
me045: i've got the headset on after all. (32)",Statement,Bed006,32,train,mrda
"dialog acts:
mn015: so (31)
me045: i've got the headset on after all. (32)
mn015: um (33)",Floor Holder,Bed006,33,train,mrda
"dialog acts:
me045: i've got the headset on after all. (32)
mn015: um (33)
mn015: officially i guess he will be joining us in the summer. (34)",Statement,Bed006,34,train,mrda
"dialog acts:
mn015: um (33)
mn015: officially i guess he will be joining us in the summer. (34)
me045: yes. (35)",Statement,Bed006,35,train,mrda
"dialog acts:
mn015: officially i guess he will be joining us in the summer. (34)
me045: yes. (35)
mn015: and um hopefully it is by by means of keith that we will be able to get a a better formal and a better semantic um idea of what a construction is. (36)",Floor Holder,Bed006,36,train,mrda
"dialog acts:
me045: yes. (35)
mn015: and um hopefully it is by by means of keith that we will be able to get a a better formal and a better semantic um idea of what a construction is. (36)
mn015: and um how we can make it work for us. (37)",Statement,Bed006,37,train,mrda
"dialog acts:
mn015: and um hopefully it is by by means of keith that we will be able to get a a better formal and a better semantic um idea of what a construction is. (36)
mn015: and um how we can make it work for us. (37)
mn015: additionally his interest um surpasses um english. (38)",Statement,Bed006,38,train,mrda
"dialog acts:
mn015: and um how we can make it work for us. (37)
mn015: additionally his interest um surpasses um english. (38)
mn015: because it also entails german. (39)",Statement,Bed006,39,train,mrda
"dialog acts:
mn015: additionally his interest um surpasses um english. (38)
mn015: because it also entails german. (39)
mn015: an extra capability of speaking and writing and understanding and reading that language. (40)",Statement,Bed006,40,train,mrda
"dialog acts:
mn015: because it also entails german. (39)
mn015: an extra capability of speaking and writing and understanding and reading that language. (40)
mn015: and um is there anyone who doesn't know nancy? (41)",Floor Holder,Bed006,41,train,mrda
"dialog acts:
mn015: an extra capability of speaking and writing and understanding and reading that language. (40)
mn015: and um is there anyone who doesn't know nancy? (41)
mn015: do you do you know nancy? (42)",Yes-No-question,Bed006,42,train,mrda
"dialog acts:
mn015: and um is there anyone who doesn't know nancy? (41)
mn015: do you do you know nancy? (42)
fe004: me? (43)",Yes-No-question,Bed006,43,train,mrda
"dialog acts:
mn015: do you do you know nancy? (42)
fe004: me? (43)
fe004: uhhuh. (44)",Continuer,Bed006,44,train,mrda
"dialog acts:
fe004: me? (43)
fe004: uhhuh. (44)
me045: i know nancy. (45)",Statement,Bed006,45,train,mrda
"dialog acts:
fe004: uhhuh. (44)
me045: i know nancy. (45)
mn015: okay. (46)",Statement,Bed006,46,train,mrda
"dialog acts:
me045: i know nancy. (45)
mn015: okay. (46)
me003: i made that joke already nancy sadly. (47)",Statement,Bed006,47,train,mrda
"dialog acts:
mn015: okay. (46)
me003: i made that joke already nancy sadly. (47)
fe004: what? (48)",Wh-Question,Bed006,48,train,mrda
"dialog acts:
me003: i made that joke already nancy sadly. (47)
fe004: what? (48)
me003: the i don't know myself joke. (49)",Statement,Bed006,49,train,mrda
"dialog acts:
fe004: what? (48)
me003: the i don't know myself joke. (49)
fe004: you did? (50)",Yes-No-question,Bed006,50,train,mrda
"dialog acts:
me003: the i don't know myself joke. (49)
fe004: you did? (50)
fe004: when? (51)",Wh-Question,Bed006,51,train,mrda
"dialog acts:
fe004: you did? (50)
fe004: when? (51)
me003: uh before you came in. (52)",Statement,Bed006,52,train,mrda
"dialog acts:
fe004: when? (51)
me003: uh before you came in. (52)
fe004: oh. (53)",Statement,Bed006,53,train,mrda
"dialog acts:
me003: uh before you came in. (52)
fe004: oh. (53)
fe004: about me or you? (54)",Or Question,Bed006,54,train,mrda
"dialog acts:
fe004: oh. (53)
fe004: about me or you? (54)
me045: man! (55)",Statement,Bed006,55,train,mrda
"dialog acts:
fe004: about me or you? (54)
me045: man! (55)
me003: about me. (56)",Statement,Bed006,56,train,mrda
"dialog acts:
me045: man! (55)
me003: about me. (56)
fe004: okay okay. (57)",Statement,Bed006,57,train,mrda
"dialog acts:
me003: about me. (56)
fe004: okay okay. (57)
mn036: you could do it about you. (58)",Statement,Bed006,58,train,mrda
"dialog acts:
fe004: okay okay. (57)
mn036: you could do it about you. (58)
fe004: well i didn't know. (59)",Statement,Bed006,59,train,mrda
"dialog acts:
mn036: you could do it about you. (58)
fe004: well i didn't know. (59)
me003: yeah. (60)",Continuer,Bed006,60,train,mrda
"dialog acts:
fe004: well i didn't know. (59)
me003: yeah. (60)
fe004: i didn't mean to be humor copying. (61)",Statement,Bed006,61,train,mrda
"dialog acts:
me003: yeah. (60)
fe004: i didn't mean to be humor copying. (61)
fe004: but okay. (62)",Statement,Bed006,62,train,mrda
"dialog acts:
fe004: i didn't mean to be humor copying. (61)
fe004: but okay. (62)
fe004: sorry. (63)",Statement,Bed006,63,train,mrda
"dialog acts:
fe004: but okay. (62)
fe004: sorry. (63)
fe004: yes i know myself. (64)",Statement,Bed006,64,train,mrda
"dialog acts:
fe004: sorry. (63)
fe004: yes i know myself. (64)
fe004: it's okay. (65)",Statement,Bed006,65,train,mrda
"dialog acts:
fe004: yes i know myself. (64)
fe004: it's okay. (65)
fe004: it's a (66)",Interrupted/Abandoned/Uninterpretable,Bed006,66,train,mrda
"dialog acts:
fe004: it's okay. (65)
fe004: it's a (66)
mn015: okay. (67)",Statement,Bed006,67,train,mrda
"dialog acts:
fe004: it's a (66)
mn015: okay. (67)
mn015: and um fey is with us as of six days ago officially. (68)",Statement,Bed006,68,train,mrda
